Daily Gross Short Sales reported for 29-May-2018, ASX Limited (ASX) & Chi-X Australia (CHI-X)

No responsibility is accepted for any inaccuracies contained in the matter published.
Securities that have had no short sales actively reported for the date shown are excluded from this report.

ASX     Company Name                      Product/      Reported Gross         Issued              % of issued capital
NWL     NETWEALTH GROUP LIMITED           FPO                   51,483         237,679,817         .02
NWS     NEWS CORPORATION..                B VOTING             104,945          50,476,860         .20
NXT     NEXTDC LIMITED                    FPO                  370,870         342,207,120         .10
NZM     NZME LIMITED                      FPO NZX               27,075         196,011,282         .01
OEL     OTTO ENERGY LIMITED               FPO                   74,014       1,530,928,490         .00
OFX     OFX GROUP LIMITED                 FPO                  166,588         242,522,677         .06
OGC     OCEANAGOLD CORPORATION            CDI 1:1               22,204         617,097,616         .00
OGX     ORINOCO GOLD LIMITED              FPO                  100,000       1,029,394,098         .01
OMH     OM HOLDINGS LIMITED               FPO 10C                6,942         737,791,337         .00
OML     OOH!MEDIA LIMITED                 FPO                   33,895         164,930,795         .02
ONT     1300 SMILES LIMITED               FPO                   19,291          23,678,384         .08
ORA     ORORA LIMITED                     FPO                  652,675       1,206,684,923         .05
ORE     OROCOBRE LIMITED                  FPO                  394,969         260,710,716         .15
ORG     ORIGIN ENERGY LIMITED             FPO                  526,088       1,759,028,696         .03
ORI     ORICA LIMITED                     FPO                  455,008         378,156,344         .12
OSH     OIL SEARCH LIMITED                FPO 10T              421,647       1,523,631,192         .02
OVH     ONEVUE HOLDINGS LIMITED           FPO                    7,222         264,337,753         .00
OZL     OZ MINERALS LIMITED               FPO                  225,191         298,664,750         .07
PAC     PACIFIC CURRENT GROUP LIMITED     FPO                      205          47,642,367         .00
PAN     PANORAMIC RESOURCES LIMITED       FPO                   16,079         491,592,889         .00
PDL     PENDAL GROUP LIMITED              FPO                  227,456         316,724,277         .07
PDN     PALADIN ENERGY LTD                FPO                  108,802       1,712,843,812         .00
PEN     PENINSULA ENERGY LIMITED          FPO                    4,383         233,697,385         .00
PGC     PARAGON CARE LIMITED              FPO                   20,740         273,047,930         .00
PGH     PACT GROUP HOLDINGS LTD           FPO                  115,382         332,483,890         .03
PLG     PROPERTYLINK GROUP                FORUS                 12,718         602,780,329         .00
PLS     PILBARA MINERALS LIMITED          FPO                2,676,171       1,744,513,405         .15
PME     PRO MEDICUS LIMITED               FPO                    2,841         103,369,049         .00
PMV     PREMIER INVESTMENTS LIMITED       FPO                   59,104         158,099,744         .03
PNC     PIONEER CREDIT LIMITED            FPO                    1,308          61,390,998         .00
PNI     PINNACLE INVESTMENT MANAGEMENT GR FPO                    3,578         163,924,507         .00
PNR     PANTORO LIMITED                   FPO                   43,959         787,483,477         .00
PNV     POLYNOVO LIMITED                  FPO                   25,756         658,088,044         .00
PPC     PEET LIMITED                      FPO                    1,001         489,980,559         .00
PPH     PUSHPAY HOLDINGS LIMITED          FPO NZX                9,125         274,549,033         .00
PPS     PRAEMIUM LIMITED                  FPO                    1,307         400,333,305         .00
PPT     PERPETUAL LIMITED                 FPO                   41,594          46,574,426         .08
PRT     PRIME MEDIA GROUP LIMITED         FPO                   17,055         366,330,303         .00
PRU     PERSEUS MINING LIMITED            FPO                   87,850       1,034,775,424         .00
PRY     PRIMARY HEALTH CARE LIMITED       FPO                  420,855         521,852,929         .08
PSY     PANORAMA SYNERGY LTD              FPO                   62,000         560,564,167         .01
PTM     PLATINUM ASSET MANAGEMENT LIMITED FPO                  567,147         586,678,900         .09
PWH     PWR HOLDINGS LIMITED              FPO                      952         100,000,000         .00
PXS     PHARMAXIS LTD                     FPO                    8,438         319,778,344         .00
QAN     QANTAS AIRWAYS LIMITED            FPO                  721,916       1,706,358,673         .04
QBE     QBE INSURANCE GROUP LIMITED       FPO                1,028,915       1,357,646,861         .07
QMS     QMS MEDIA LIMITED                 FPO                    2,388         325,791,305         .00
QUAL    VANECK VECTORS MSCI WORLD EX AUST ETF UNITS              7,848          15,592,222         .05
QUB     QUBE HOLDINGS LIMITED             FPO                  863,839       1,604,988,151         .05
RCR     RCR TOMLINSON LIMITED             FPO                   13,435         165,358,044         .00
REA     REA GROUP LTD                     FPO                   41,588         131,714,699         .03
REG     REGIS HEALTHCARE LIMITED          FPO                   83,459         300,534,519         .02
REH     REECE LIMITED                     FPO                   49,517         522,947,723         .00
RFF     RURAL FUNDS GROUP                 STAPLED               21,207         255,630,515         .00
RFG     RETAIL FOOD GROUP LIMITED         FPO                   15,489         182,745,510         .00
RHC     RAMSAY HEALTH CARE LIMITED        FPO                   33,838         202,081,252         .01
RHL     RURALCO HOLDINGS LIMITED          FPO                    2,473         104,779,593         .00
RIC     RIDLEY CORPORATION LIMITED        FPO                    6,928         307,817,071         .00
RIO     RIO TINTO LIMITED                 FPO                  315,199         412,414,348         .07
RMD     RESMED INC                        CDI 10:1             134,311       1,427,236,981         .00
RMS     RAMELIUS RESOURCES LIMITED        FPO                  179,802         527,009,008         .03
ROBO    ETFS ROBO GLOBAL ROBOTICS AND AUT ETF UNITS              4,775           1,395,000         .34
RRL     REGIS RESOURCES LIMITED           FPO                  332,461         504,412,711         .06
RSG     RESOLUTE MINING LIMITED           FPO                2,082,073         741,477,595         .28
RTE     RETECH TECHNOLOGY CO., LIMITED    CDI 1:1               16,000         230,750,944         .00
RTG     RTG MINING INC.                   CDI 1:1                2,496         439,604,830         .00
RVR     RED RIVER RESOURCES LIMITED       FPO                   29,398         489,932,000         .00
RWC     RELIANCE WORLDWIDE CORPORATION LI FPO                  697,766         525,000,000         .13
RXP     RXP SERVICES LIMITED              FPO                    8,250         161,097,185         .00
S32     SOUTH32 LIMITED                   FPO                2,579,334       5,138,604,963         .05
SAR     SARACEN MINERAL HOLDINGS LIMITED  FPO                  595,376         817,848,859         .07
SBM     ST BARBARA LIMITED                FPO                  562,290         516,541,773         .10
SCG     SCENTRE GROUP                     STAPLED            1,940,413       5,324,296,678         .03
SCO     SCOTTISH PACIFIC GROUP LIMITED    FPO                      307         139,191,601         .00
SCP     SHOPPING CENTRES AUSTRALASIA PROP STAPLED              673,276         749,154,435         .09
SDA     SPEEDCAST INTERNATIONAL LIMITED   FPO                   82,031         239,369,930         .03
SDF     STEADFAST GROUP LIMITED           FPO                  493,401         793,035,955         .06
SEA     SUNDANCE ENERGY AUSTRALIA LIMITED FPO                  325,524       6,867,696,796         .00
SEH     SINO GAS & ENERGY HOLDINGS LIMITE FPO                  136,656       2,118,854,285         .00
SEK     SEEK LIMITED                      FPO                  224,154         350,655,882         .06
SFH     SPECIALTY FASHION GROUP LIMITED   FPO                    1,500         192,236,121         .00
SFR     SANDFIRE RESOURCES NL             FPO                  107,206         158,187,038         .06
SGF     SG FLEET GROUP LIMITED            FPO                   22,636         257,358,146         .00
SGM     SIMS METAL MANAGEMENT LIMITED     FPO                  791,952         202,634,171         .39
SGP     STOCKLAND                         STAPLED            3,399,646       2,434,469,276         .14
SGR     THE STAR ENTERTAINMENT GROUP LIMI FPO                  438,240         917,322,730         .04
SHJ     SHINE CORPORATE LTD               FPO                   14,751         173,161,812         .00
SHL     SONIC HEALTHCARE LIMITED          FPO                  278,502         424,588,491         .06
SHV     SELECT HARVESTS LIMITED           FPO                   16,359          95,226,349         .01
SIG     SIGMA HEALTHCARE LIMITED          FPO                1,205,074       1,059,491,073         .11
SIQ     SMARTGROUP CORPORATION LTD        FPO                  159,121         131,410,431         .12
SIV     SILVER CHEF LIMITED               FPO                   12,925          39,042,781         .03
SKC     SKYCITY ENTERTAINMENT GROUP LIMIT FPO NZX               68,632         652,750,845         .01
SKI     SPARK INFRASTRUCTURE GROUP        FORUS                714,751       1,682,010,978         .04
SKT     SKY NETWORK TELEVISION LIMITED.   FPO NZ                29,681         389,139,785         .00
SLC     SUPERLOOP LIMITED                 FPO                   59,293         228,486,312         .02
SLK     SEALINK TRAVEL GROUP LIMITED      FPO                    1,265         101,154,103         .00
SLR     SILVER LAKE RESOURCES LIMITED     FPO                  185,958         503,947,064         .03
SLX     SILEX SYSTEMS LIMITED             FPO                   14,583         170,467,339         .00
SM1     SYNLAIT MILK LIMITED              FPO NZX                  287         179,223,028         .00
SOL     WASHINGTON H SOUL PATTINSON & COM FPO                   59,904         239,395,320         .02
SPK     SPARK NEW ZEALAND LIMITED         FPO NZX              378,372       1,835,390,783         .02
SPL     STARPHARMA HOLDINGS LIMITED       FPO                   11,101         370,544,775         .00
SRS     SPICERS LIMITED                   FPO                    2,820       2,056,942,649         .00
SRV     SERVCORP LIMITED                  FPO                    1,507          98,432,275         .00
SRX     SIRTEX MEDICAL LIMITED            FPO                    9,581          55,773,045         .01
SSM     SERVICE STREAM LIMITED            FPO                    7,934         360,570,336         .00
STO     SANTOS LIMITED                    FPO                2,142,679       2,082,911,041         .10
STX     STRIKE ENERGY LIMITED             FPO                    9,915       1,094,640,299         .00
SUL     SUPER RETAIL GROUP LIMITED        FPO                  391,913         197,240,020         .19
SUN     SUNCORP GROUP LIMITED             FPO                  299,622       1,298,503,953         .02
SVL     SILVER MINES LIMITED              FPO                   21,576         512,800,856         .00
SVW     SEVEN GROUP HOLDINGS LIMITED      FPO                  103,635         316,485,208         .03
SWM     SEVEN WEST MEDIA LIMITED          FPO                1,069,203       1,508,034,368         .07
SXL     SOUTHERN CROSS MEDIA GROUP LIMITE FPO                  415,669         769,013,605         .05
SXY     SENEX ENERGY LIMITED              FPO                  860,211       1,447,271,094         .05
SYD     SYDNEY AIRPORT                    FORUS              1,586,832       2,253,213,234         .07
SYR     SYRAH RESOURCES LIMITED           FPO                  298,269         297,434,215         .10
SYT     SYNTONIC LIMITED                  FPO                  150,000       1,601,507,554         .00
TAH     TABCORP HOLDINGS LIMITED          FPO                  719,627       2,012,972,676         .03
TAW     TAWANA RESOURCES NL               FPO                   46,996         557,988,335         .00
TCL     TRANSURBAN GROUP                  STAPLED              418,544       2,224,727,962         .01
TER     TERRACOM LIMITED                  FPO                      276         377,085,413         .00
TGA     THORN GROUP LIMITED               FPO                    9,467         159,929,582         .00
TGR     TASSAL GROUP LIMITED              FPO                  419,068         174,458,730         .24
THC     THE HYDROPONICS COMPANY LIMITED   FPO                   66,615          86,167,427         .07
TLS     TELSTRA CORPORATION LIMITED.      FPO                6,084,964      11,893,297,855         .05
TME     TRADE ME GROUP LIMITED            FPO NZX              128,429         397,076,790         .03
TNE     TECHNOLOGY ONE LIMITED            FPO                1,310,238         315,539,863         .41
TPM     TPG TELECOM LIMITED               FPO                  781,399         927,811,493         .08
TRS     THE REJECT SHOP LIMITED           FPO                      172          28,859,548         .00
TRY     TROY RESOURCES LIMITED            FPO                   17,518         459,543,474         .00
TTT     TITOMIC LIMITED                   FPO                        8          64,488,335         .00
TWE     TREASURY WINE ESTATES LIMITED     FPO                  830,166         718,663,546         .11
UBE     UBS IQ MSCI EUROPE ETHICAL ETF    ETF UNITS              1,341             516,170         .26
UPD     UPDATER INC                       CDI FORUS              8,453         542,336,600         .00
VAF     VANGUARD AUSTRALIAN FIXED INTERES ETF UNITS                601          14,393,948         .00
VAH     VIRGIN AUSTRALIA HOLDINGS LIMITED FPO                      236       8,445,218,474         .00
VAP     VANGUARD AUSTRALIAN PROPERTY SECU ETF UNITS              4,659          12,571,498         .03
VCF     VANGUARD INTERNATIONAL CREDIT SEC ETF UNITS                200           2,181,390         .00
VCX     VICINITY CENTRES                  STAPLED            3,330,302       3,871,608,967         .08
VEQ     VANGUARD FTSE EUROPE SHARES ETF   ETF UNITS                867           3,311,565         .02
VEU     VANGUARD ALL-WORLD EX-US SHARES I CDI 1:1                7,861          17,010,424         .04
VGAD    VANGUARD MSCI INDEX INTERNATIONAL ETF UNITS                705           5,836,568         .01
VGS     VANGUARD MSCI INDEX INTERNATIONAL ETF UNITS            101,780          14,841,067         .68
VKA     VIKING MINES LIMITED              FPO                   25,000         313,717,856         .00
VLA     VIRALYTICS LIMITED                FPO                    2,483         278,262,889         .00
VLW     VILLA WORLD LIMITED.              FPO                   16,932         126,926,266         .01
VOC     VOCUS GROUP LIMITED               FPO                  864,090         622,184,466         .13
VRC     VOLT RESOURCES LIMITED            FPO                  100,000       1,368,423,188         .00
VRL     VILLAGE ROADSHOW LIMITED          FPO                   34,159         161,829,347         .02
VRT     VIRTUS HEALTH LIMITED             FPO                   39,950          80,389,938         .05
VTG     VITA GROUP LIMITED                FPO                   13,593         160,391,036         .00
VVR     VIVA ENERGY REIT                  STAPLED              273,739         725,749,702         .03
WAF     WEST AFRICAN RESOURCES LIMITED    FPO                   15,030         690,824,727         .00
WBA     WEBSTER LIMITED                   FPO                    5,625         361,245,163         .00
WBC     WESTPAC BANKING CORPORATION       FPO                  443,117       3,423,361,803         .01
WDIV    SPDR S&P GLOBAL DIVIDEND FUND     ETF UNITS             12,350           9,086,625         .13
WEB     WEBJET LIMITED                    FPO                  148,156         118,831,075         .12
WES     WESFARMERS LIMITED                FPO                  654,220       1,133,840,242         .05
WFD     WESTFIELD CORPORATION             STAPLED            6,246,919       2,078,089,686         .30
WFE     WINMAR RESOURCES LIMITED          FPO                1,000,000       2,422,951,276         .04
WGX     WESTGOLD RESOURCES LIMITED.       FPO                   65,449         363,109,569         .01
WHA     WATTLE HEALTH AUSTRALIA LIMITED   FPO                      800          92,327,678         .00
WHC     WHITEHAVEN COAL LIMITED           FPO                  736,570       1,026,045,885         .07
WKT     WALKABOUT RESOURCES LTD           FPO                  251,525         268,416,325         .09
WOR     WORLEYPARSONS LIMITED             FPO                  215,802         272,991,298         .07
WOW     WOOLWORTHS GROUP LIMITED          FPO                  387,448       1,313,323,941         .03
WPL     WOODSIDE PETROLEUM LIMITED        FPO                  662,670         936,151,549         .07
WPP     WPP AUNZ LTD                      FPO                   14,111         852,151,870         .00
WSA     WESTERN AREAS LIMITED             FPO                  268,494         272,792,647         .09
WTC     WISETECH GLOBAL LIMITED           FPO                  133,810         299,182,033         .04
WTP     WATPAC LIMITED                    FPO                      266         183,386,244         .00
XRO     XERO LIMITED                      FPO                   19,602         138,797,991         .01
YOJ     YOJEE LIMITED                     FPO                   14,759         759,940,000         .00
ZEL     Z ENERGY LIMITED.                 FPO NZX                  430         400,000,000         .00
ZYAU    ETFS S&P/ASX 300 HIGH YIELD PLUS  ETF UNITS              8,234           4,761,958         .17
